settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	ItemPrice	Shipping	1.66	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	ItemPrice	ShippingTax	0.33	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-3.96	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	ItemFees	Commission	-8.64	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.25	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	Promotion	Shipping	-1.66	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						Order	202-6337978-9477907	202-6337978-9477907		Unmxs1D8n	Amazon.co.uk	Promotion	TaxDiscount	-0.33	AFN	21.11.2024	21.11.2024 02:09:28 UTC	44053156360762			TM-ATRNS-LL	1	
23395380562						other-transaction	24111314VO					other-transaction	RemovalComplete	-1.08		27.11.2024	27.11.2024 14:11:10 UTC						
23395380562						other-transaction	204-9758345-7399536		amzn1:crow:L1F5D/vaQGGPtzBcjiV0ug			FBA Inventory Reimbursement	REVERSAL_REIMBURSEMENT	27.39		25.11.2024	25.11.2024 03:58:23 UTC				TM-ATRNS-LL	1	
23395380562						other-transaction						other-transaction	Current Reserve Amount	-70.28		29.11.2024	29.11.2024 09:01:28 UTC						
