settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
21574497411						Refund	112-2300110-5200238	112-2300110-5200238	amzn1:crow:WEJN0HqvTZqLLt7S1jdP7w		Amazon.com	ItemPrice	Tax	-5.52	AFN	2024-10-18	2024-10-18 00:39:32 UTC	110004606016801		1727225663403075024	TM-ATRNS-LR		
21574497411						Refund	112-2300110-5200238	112-2300110-5200238	amzn1:crow:WEJN0HqvTZqLLt7S1jdP7w		Amazon.com	ItemPrice	Principal	-68.99	AFN	2024-10-18	2024-10-18 00:39:32 UTC	110004606016801		1727225663403075024	TM-ATRNS-LR		
21574497411						Refund	112-2300110-5200238	112-2300110-5200238	amzn1:crow:WEJN0HqvTZqLLt7S1jdP7w		Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	5.52	AFN	2024-10-18	2024-10-18 00:39:32 UTC	110004606016801		1727225663403075024	TM-ATRNS-LR		
21574497411						Refund	112-2300110-5200238	112-2300110-5200238	amzn1:crow:WEJN0HqvTZqLLt7S1jdP7w		Amazon.com	ItemFees	Commission	12.42	AFN	2024-10-18	2024-10-18 00:39:32 UTC	110004606016801		1727225663403075024	TM-ATRNS-LR		
21574497411						Refund	112-2300110-5200238	112-2300110-5200238	amzn1:crow:WEJN0HqvTZqLLt7S1jdP7w		Amazon.com	ItemFees	RefundCommission	-2.48	AFN	2024-10-18	2024-10-18 00:39:32 UTC	110004606016801		1727225663403075024	TM-ATRNS-LR		
21574497411						Refund	112-3735324-8097836	112-3735324-8097836	amzn1:crow:13005QvzQk+thMxHiCA7gw		Amazon.com	ItemPrice	Principal	-68.99	AFN	2024-10-14	2024-10-14 17:06:36 UTC	110561434630681		1727618697403390609	TM-ATRNS-LL		
21574497411						Refund	112-3735324-8097836	112-3735324-8097836	amzn1:crow:13005QvzQk+thMxHiCA7gw		Amazon.com	ItemFees	Commission	12.42	AFN	2024-10-14	2024-10-14 17:06:36 UTC	110561434630681		1727618697403390609	TM-ATRNS-LL		
21574497411						Refund	112-3735324-8097836	112-3735324-8097836	amzn1:crow:13005QvzQk+thMxHiCA7gw		Amazon.com	ItemFees	RefundCommission	-2.48	AFN	2024-10-14	2024-10-14 17:06:36 UTC	110561434630681		1727618697403390609	TM-ATRNS-LL		
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemPrice	Tax	-4.31	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
21574497411						Refund	112-6367249-0500266	112-6367249-0500266	amzn1:crow:zuBJB+ivT9qHfXfTwjjmnw		Amazon.com	ItemPrice	Principal	-68.99	AFN	2024-10-11	2024-10-11 20:19:29 UTC	111355883018761		1728447124400178055	TM-ATRNS-LR		
